name,type,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952
Carolina Wren,species,,,,,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winter Wren,species,CP,,,,,,,,6,,,,1,,,,,1,,CP,,,,,,1,,,,,,1,,,,1,,,,,3,3,,,,1,,,,,,,,,,,,,,,,,
Golden-crowned Kinglet,species,2,8,2,4,7,5,9,,21,7,5,2,23,1,4,2,11,3,1,1,6,2,4,2,3,,20,13,9,21,16,16,47,,2,2,,,16,,4,8,5,,,,,,1,,7,8,1,,9,,,14,,,,,9
Ruby-crowned Kinglet,species,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hermit Thrush,species,1,,,,,,1,,1,,,,,,,,,,,1,,,,,,1,,,,0,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Robin,species,25,222,9,750,432,169,33,,97,93,200,14,495,67,147,62,415,2,15,3,135,5,50,11,1,5,3,3,,29,1,11,11,,3,17,4,,6,,1,,,12,,,,,1,,,,1,,,,,,,,,,
Gray Catbird,species,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mockingbird,species,,,,,,,,,,1,,,,,,,,,CP,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Brown Thrasher,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Pipit,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bohemian Waxwing,species,1,,97,,737,912,,325,,436,,CP,,225,,1869,,691,,569,,564,,1,,2157,,110,25,245,,2180,,,41,,27,,,,,,25,,,,,,,1,,,,35,,,,,,,,,
Cedar Waxwing,species,283,258,30,737,290,,189,7,18,60,148,2,417,85,19,92,122,42,307,22,330,11,220,3,153,76,25,198,77,27,234,322,21,,101,22,,,7,,100,,1,15,29,,,,,,,,,,,20,,,,,,,
Common Starling,species,1095,729,786,3400,1073,1287,1549,339,2553,871,277,818,2161,1601,817,2053,2430,538,1039,1466,1243,269,422,935,537,397,501,1633,1053,605,1491,526,1586,1475,530,1138,1475,662,234,714,609,391,137,184,261,250,107,630,316,71,151,338,166,134,153,105,248,457,93,86,179,,38
Yellow-rumped Warbler,species,1,,3,1,,,,,,,,,CP,,,,,,,,,,,,,,,0,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Yellowthroat,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Northern Cardinal,species,110,83,107,53,96,93,72,42,80,104,75,70,41,49,45,65,36,61,42,73,58,120,65,91,65,90,86,77,40,36,21,66,29,43,23,17,12,8,21,23,22,8,8,14,6,7,6,1,9,,,2,,3,,1,,1,,,,,
Rufous-sided Towhee,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Tree Sparrow,species,302,413,415,162,368,261,245,92,175,514,435,278,373,202,171,98,153,112,263,186,323,446,162,221,165,360,376,112,327,550,561,285,474,408,540,187,97,112,465,398,589,181,173,369,252,131,225,278,112,86,153,397,215,145,70,114,112,61,96,73,47,,37
Chipping Sparrow,species,,,,1,,,,,,,,,,,,,1,1,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song Sparrow,species,1,2,2,1,,,,,4,,,,1,1,1,,0,1,,3,2,1,,2,1,4,2,1,,1,15,1,27,1,5,1,1,CP,1,4,9,4,,6,4,,,,,,2,8,2,3,2,1,2,,,,,1,
Swamp Sparrow,species,,,,,,,,,2,,2,,1,,,1,,,,,,1,1,,,,,2,1,,2,,5,1,1,,,,3,,4,,1,,,,,,,,,,,,,,,,,,,,
Field Sparrow,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
White-throated Sparrow,species,10,3,7,3,3,1,4,,9,,,,11,,,,,2,,,,3,2,2,,1,,2,,1,1,3,2,2,3,5,0,1,1,4,2,,,1,,,,3,,1,,,,,,,,,,,,,
White-crowned Sparrow,species,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Harris' Sparrow,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Dark-eyed Junco,species,518,453,426,370,309,189,230,114,257,267,132,207,201,79,102,61,56,96,66,73,128,74,60,71,56,128,73,51,71,87,136,67,42,81,74,34,35,,15,20,21,9,33,65,27,8,2,18,14,31,4,78,13,10,18,30,3,,,,,,8
Lapland Longspur,species,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,3,,,,,,,,,
Snow Bunting,species,213,1392,,2,87,399,338,,51,1152,772,,,42,587,59,140,464,801,318,130,468,186,344,259,1683,549,436,451,454,885,463,167,1519,235,56,707,154,29,562,1514,66,78,31,110,50,217,110,,,,120,653,832,876,,255,1,51,35,250,,
Red-winged Blackbird,species,3,1,,13,5,,,CP,,5,,,1,2,,,,1,1,,,1,1,,,,,,,,,,4,,,,,,,,,,,,,,,5,,,,,,,2,,,,,,,,
Eastern Meadowlark,species,,,,,,,,,,,,,,,1,,,,,,,,,,,,,0,,,,,,,1,,,,,,,,,,,,1,,,,,,,,2,,,,,,1,,
Rusty Blackbird,species,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,
Common Grackle,species,1,,,,,,,,2,,,CP,,1,,,,,,,,,,,,,,2,1,,2,,1,1,,2,1,,,2,2,4,2,,1,3,,1,1,,1,1,1,,,,,,,,,,
Brown-headed Cowbird,species,,,,,,1,1,,1,,,,,4,,,,,,,,,,,,,2,5,3,,1,,2,,,2,,,,,,,4,5,,,,,12,,,,,,,,,,,,,,
Baltimore Oriole,species,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pine Grosbeak,species,,,32,,2,,,13,,103,,,1,160,,,,43,,121,,196,,1,,13,9,,28,167,5,154,,97,5,,0,60,0,47,,,30,20,,1,16,,,187,5,111,,120,,7,20,24,,4,3,,
